period,Contributory_pensioners_share,Moratorium_pensioners_share,universal_pensioners_share,retirement_coverage_for_legal_age,retirement_coverage_65+,All_coverage_legal_age,All_coverage_65+,Contributory_retirement_coverage_legal_age,Contributory_retirement_coverage_65+,survivors_benefit_coverage_legal_age,survivors_benefit_coverage_65+,Moratorium_benefit_coverage_legal_age,Moratorium_benefit_coverage_65+,PUAM_coverage_legal_age,PUAM_coverage_65+,Mean_Contributory_retirement_pension,Mean_survivors_benefit,Mean_moratorium_pension,Mean_universal_pension,Mean_retirement_pension,Mean_pension_benefit,Median_pension_benefit,Median_pension_to_labour_income_ratio,Mean_pension_to_labour_income_ratio,Mean_family_benefit,Mean_child_benefits,Mean_Contributory_child_benefits,Mean_AUH_benefits,Child_benefit_coverage,Contributory_child_benefit_coverage,AUH_coverage,Gini_retirement_age,Gini_retirement_age_non_labour_income,Gini_65+,Gini_65+_non_labour_income,Gini_retirement_age_has_income,Gini_retirement_age_(has)_non_labour_income,Gini_65+_has_income,Gini_65+_(has)_non_labour_income,Total_SIPA_beneficiaries,Total_SIPA_benefits,Total_non_moratorium_beneficiaries,Total_non_moratorium_benefits,Total_PUAM_benefits
59,0.38752977620453277,0.6021314684378712,0.010338755357596046,0.9951624024958414,0.9953709548316393,0.9955386447439538,0.9958285880052431,0.43549998813028856,0.485242589230075,0.24696452833355326,0.27662464812944537,0.5475511681176238,0.49539714367062765,0.012111246247929012,0.014731221930936674,5110.0184732510443,2106.9776806604282,2877.1683912459935,2591.750855438308,3739.5134217461996,4405.0350091311202,3250.4611073299147,0.577399001258528,0.6432384319118657,525.95277236442655,536.37094850642279,475.10888710397461,732.43199868114357,0.7711083822469835,0.5381525166596459,0.23295586558733755,0.31390938208719682,0.27918002350638838,0.29952506931004191,0.27330556694686881,0.31365854027824175,0.27859655484151219,0.29758813315493504,0.27126521485696842,4346472,5798971,2992050,3076188,43875
60,0.38456871399522197,0.6021780237781744,0.013253262226603552,0.9951969326220604,0.9954234543063477,0.9955709161031305,0.995876554602741,0.4327855924990383,0.48148970601336893,0.24686449286138795,0.2767249391987937,0.5469476856651007,0.49519873251591334,0.015463654457921508,0.018735015777065347,5563.0033573965502,2324.5405865113239,3109.6731251548686,2800.659055888912,4049.0517330819594,4778.8698436127988,3524.9258904800622,0.6200880206475474,0.6962099027606001,597.15907256392882,607.67356774989469,557.86270758335627,794.08572877831341,0.7807447813239258,0.5590934636853022,0.22165131763862356,0.31381407771544578,0.28102948585241483,0.30018744697080008,0.27533921022016333,0.31356470774537692,0.28045101090984742,0.29829191204560618,0.27337637055687153,4365128,5819253,2982503,3076031,56358
61,0.38148997627244324,0.603205035272813,0.015304988454743743,0.9952599997111584,0.9954647846308018,0.9956314064598615,0.9959137930239316,0.42922494251097665,0.47655998297523566,0.24512736417562553,0.2752813467484611,0.5482282426629456,0.49737743520344396,0.017806814537236183,0.021527366452122134,5172.6591382654451,2166.3253181112127,2876.6314580738622,2605.4234857306806,3748.3921684254756,4422.801809136974,3261.3536431342141,0.5746804101371361,0.6492787868069309,687.17158027542735,687.86158154889063,635.10473534179982,837.20760581852551,0.7445254582147407,0.5171347213183408,0.22739073689639983,0.3168710612406892,0.28145501157877018,0.30181112129955401,0.27637016201029352,0.31662451333580466,0.28085674305810665,0.29992739667645185,0.27435859372451948,4387953,5840335,2976026,3074036,65348
62,0.3784334285219981,0.6036745112679611,0.01789206021004078,0.995095246486296,0.9952955949274127,0.9954636165016795,0.9957424625916358,0.42651247917614843,0.47451116677376626,0.24390743561497522,0.2753206431222378,0.5478716158876393,0.4956598428914272,0.020711151422508244,0.025124585262219192,5159.0179628919623,2208.9308626876677,2884.9627842306199,2622.8555326221735,3740.8516434123699,4428.820255333525,3321.9360631716036,0.5945464674819928,0.659781568092425,555.37615975189442,566.66314362870412,498.58636086397075,768.12265992176845,0.7584269129199865,0.5311518225819178,0.22727509033806875,0.30375500434567243,0.26900884276223003,0.28476553421134665,0.26264013352924598,0.30350577801732964,0.26840519188588191,0.28288559283208492,0.26045869373919633,4401506,5854484,2958970,3066001,76633
63,0.37513550382211813,0.6041920517496217,0.020672444428260238,0.9946558468850021,0.9951039413712225,0.9950502731887103,0.9955813829107236,0.42291983231493757,0.4705055923275405,0.2423353593482267,0.27297165614816865,0.5478761867813305,0.49571672323783633,0.023859827788734064,0.02888162580584566,4849.9273207837387,2084.9737880250705,2680.9658884782698,2440.9891494646467,3489.6594223555908,4133.8703978823087,3051.2364368308085,0.5806300840138665,0.6529015738916586,514.46114415375075,522.86151940617287,469.74124532313817,684.55827695855442,0.7475450444822485,0.5097022190156274,0.23784282546662103,0.31629502703304924,0.28281644738624601,0.29963008346983977,0.27789927387209429,0.31582664997809945,0.28204931181854909,0.29766532451052613,0.2757022950092865,4410192,5857854,2942012,3057358,88561
64,0.37240717143169666,0.6043030646960219,0.023289763872281426,0.9941360999188998,0.9944834198898957,0.9945916163465324,0.9950336487350746,0.4204596789980575,0.4695248250977111,0.24367681889269174,0.2738613040033858,0.5468816216599943,0.49259253605152015,0.02679479926084796,0.03236605874066454,4440.9980910242675,1918.8295263295968,2448.3268158990086,2248.3808926425277,3185.7551957217293,3777.9223712198141,2810.4761158031592,0.5632948247893054,0.6283105187813065,474.50445567505591,484.47703655840058,439.34482623418575,617.93776819989159,0.7524398168336974,0.5148189078918286,0.2376209089418688,0.31904335632251868,0.28086500047104734,0.30139177488091062,0.27626599224022719,0.31857775778429309,0.28009725515203449,0.29938851218391116,0.27415592488028906,4413876,5865398,2932013,3050569,99646
65,0.3747294625963355,0.6053232967048817,0.01994724069878273,0.9927194039078573,0.9927283376242388,0.993170843504493,0.9932728845525152,0.42288724136828304,0.472789530040571,0.2435977657204379,0.27616597816090366,0.5469827632154012,0.49237682518854214,0.02284939932417307,0.027561982395125695,4364.642994587477,1907.9718726276033,2405.2889982454094,2212.7436121647261,3135.675919169063,3725.3737269284575,2765.929515205908,0.5539022206987023,0.622895152911416,594.81779764700184,591.2900600100495,540.80852895780504,738.57307183333842,0.7369765777931009,0.49988629609083435,0.23709028170226662,0.32111344428380845,0.282486965384737,0.30352526961620152,0.27770920252511255,0.3206534183636211,0.28172781467559815,0.3016890523748984,0.27458704107012349,4433702,5891097,2944660,3070258,85741
66,0.37803250849102377,0.6027756480771581,0.0191918434318181,0.9922438719047074,0.9921369107097013,0.9926905295397844,0.9926758140255473,0.42704161298777044,0.4775405521563927,0.23977657626112228,0.2712360196104817,0.5433424018368334,0.48822190855122494,0.02185985708010359,0.026374450002083716,4416.9685120875019,1929.6297122651351,2393.1515254343494,2217.1522579845541,3154.8423872405742,3743.337188648974,2772.319489965575,0.5611565760067078,0.6275821279123017,513.13765002091452,527.01641670583831,431.93047073459491,767.2442089864636,0.7622975584435872,0.5277608627413112,0.23453669570227598,0.32553068590924222,0.28508880162446609,0.30849816244980399,0.27986838924279495,0.3250784976460912,0.28434042441634844,0.30659093628924811,0.27641808164025394,4458391,5906065,2958713,3087863,82906
67,0.3783003001386476,0.6014114130901123,0.02028828677124015,0.9916397168569464,0.9910256007341434,0.9921758028454516,0.9916720616982093,0.42719668205253436,0.47772239577113335,0.2368501912005277,0.26763515339698424,0.5414585760857696,0.4855864661181543,0.022984458718642423,0.027716738844855655,4541.8203679824173,1978.5007525228061,2427.7660871445596,2249.9369501289216,3223.9056075668586,3818.2047883865216,2816.9398836191676,0.5919954195005948,0.6567116227231744,506.3815661424623,515.6389714452979,434.38806660611715,718.43528610515682,0.7611019659650382,0.5134872131548501,0.24761475281018808,0.3228811252816573,0.28814314884543873,0.30742551099381216,0.28347618652242029,0.32241015872756734,0.28762516891263784,0.3053449996853041,0.27963841156527136,4493769,5935993,2967207,3099057,88193
68,0.380218832675562,0.5972787665685604,0.022502400755877672,0.9840295664184069,0.9906932830202337,0.9846352191600666,0.991360366327956,0.4268010789370859,0.4772422563890075,0.23220296280453212,0.2631693571008023,0.5319692207224901,0.4830141806684998,0.025259266758830837,0.03043684596272633,4475.2279257017999,1959.2230977797972,2395.7160911646051,2214.2007321618221,3182.3011220757262,3765.0322104118891,2767.7509152022772,0.6043616810468005,0.6683593297629454,518.50641284268704,528.34359224771617,427.90483826072762,788.94764086484145,0.7624330007407611,0.5283915678145666,0.23404143292619453,0.32357394211345097,0.2915609050178517,0.30309760039567973,0.28145581645943635,0.32050491328953568,0.28714193884714168,0.30114319809342865,0.27748502372794609,4486827,5916065,2956695,3088646,97550
69,0.38049285295200935,0.5949098452136156,0.024597301834375054,0.9790250771931199,0.9901299531395742,0.9801889039917661,0.9908391150155272,0.4240261394364541,0.4733448037944186,0.2345925729596162,0.2632792883854769,0.5275873875620587,0.48386083828507936,0.027411550194607105,0.03292431106007623,4867.3630385389915,2231.3190941050871,2913.1102630372352,2874.221467534665,3655.7329175363293,4316.1791652423626,3468.8678038658959,0.7069624351328164,0.7278491457640643,639.93529397646432,630.64391020497624,533.76423572480041,874.14800488114861,0.7491897027874224,0.511934409854721,0.2372552929327014,0.22059563472858842,0.18019068169958563,0.19594214977400395,0.16678648594857381,0.21545112022034787,0.17218742173153612,0.19328755358266037,0.16210551698147477,4486967,5917453,2958664,3098337,106318
70,0.3802824605125655,0.5919556440071411,0.02776189548029342,0.9738189936323327,0.9897614925250297,0.9752481247938753,0.9905141794422808,0.4204661730009781,0.4685345545020873,0.2356275197822042,0.26272458537729854,0.5226573793214433,0.48444170653256086,0.030695441309911333,0.036785231490381515,4646.4667434187349,2050.5085041740526,2614.638767898341,2332.3471039549268,3379.4703580981463,3981.8515321072691,2950.6385117847649,0.5268769344839443,0.6258821889216187,496.55477216903682,501.80401674154308,467.01590559892304,667.05438638842475,0.7134622410529999,0.5501779297952339,0.163284311257766,0.30241728064301343,0.27606806636302672,0.2744452667636314,0.25551491755827771,0.29564423158908876,0.26667594649690507,0.27202908043302043,0.25091643952318704,4488440,5916893,2958003,3098059,119785
71,0.3814091188684115,0.5898061523072723,0.028784728824316177,0.9662031269239271,0.98897399097975,0.9680977688246261,0.9897246575753622,0.4177922476209268,0.4664604247713239,0.23755602411742496,0.26410049560533866,0.5168803364875858,0.4846332330606922,0.03153054281541441,0.037880333147734,4628.730743430272,2062.1710209343269,2594.0666170970021,2311.8593490231574,3361.9828090311835,3970.9970266692799,2923.6338639332635,0.5584012962999731,0.6519041875200421,498.16417635697087,500.26769099091007,461.45798808241796,641.0207928268112,0.7194038033989936,0.5271905091266857,0.19221329427230782,0.30660382438225758,0.28253309740833432,0.27459802112717002,0.25710196524541334,0.29817470912452126,0.26897785288955744,0.27194297832075631,0.25185387195179126,4474966,5906140,2951290,3097497,123683
72,0.3837436133881864,0.5865204439589324,0.02973594265288117,0.9622877488560644,0.9892808084772371,0.9643381345724418,0.9900323170133438,0.4173935358006325,0.46595675529827313,0.23934337660111452,0.26345019377943485,0.5125507686012941,0.48444736067503924,0.03234344445413773,0.03887669250392465,4521.5210240227243,2034.9153827771618,2533.2088531395252,2252.9677336481559,3287.8777162797783,3887.4584996544449,2848.3608514755692,0.5542731632761434,0.6465372379360815,483.52741263185948,489.31503343473349,447.60336765362132,646.16395712944802,0.7422846969849808,0.5368363154551428,0.20544838152983802,0.31603166963560081,0.28711718220710142,0.27881763155276967,0.25848075643002816,0.3056294974010022,0.27135391846419948,0.27603225230369921,0.25301713414509497,4448689,5870535,2941317,3089089,126794
73,0.38396707265886304,0.5847894562490236,0.03124347109211336,0.9540855584150204,0.988516141443005,0.9566418710498037,0.9892758676737098,0.4129334288418763,0.46254969723570444,0.2413315496750272,0.2643850326627491,0.5075516607682298,0.48554663458933695,0.03360046880491435,0.04041980961796363,4361.5494263793316,1974.4731703312768,2448.6324402092405,2161.4750816993082,3174.1577829988923,3754.6113200216246,2733.5006120388598,0.5433273627037626,0.628727906305099,586.68124647780712,574.21538177062007,527.67513929958466,728.00485927063585,0.7367058007035127,0.5231094072009309,0.21359639350258178,0.32334442857722834,0.29490605542053494,0.2833451853199998,0.26188260012001591,0.31137097461336838,0.27618025606011654,0.28072545715965624,0.25586249085594237,4446252,5869547,2939909,3094849,132795
74,0.38504771721656605,0.5816934924936971,0.033258790289736856,0.9464865037415109,0.9873591710836732,0.9491734642914506,0.9881135226586542,0.41040771170245466,0.4600254110097854,0.24081299533765843,0.264182323390762,0.500629512880947,0.4847098738455792,0.03544927915810915,0.042623886228308615,4452.7893254246947,2042.1764613637499,2481.591189922442,2197.3073143928364,3231.1415943801435,3830.2712651150205,2776.9623215347765,0.5592870503023291,0.6443050835325917,466.1102055322047,471.29261752282895,425.98069152459107,614.8822317038962,0.7552461224938372,0.5305818862702468,0.2246887958549928,0.32309223017554384,0.30028431007629169,0.28172603624764186,0.26269046011469399,0.30943833526843167,0.27770558003765111,0.27911903175902208,0.25584853488870157,4447283,5869593,2942876,3099241,141034
75,0.3850958606144779,0.5804081143078477,0.03449602507767437,0.9402256024414161,0.9868826721886124,0.943064114486736,0.9875392303261888,0.40710858442524706,0.45855247427377843,0.24271771427483121,0.26532768506864085,0.4966491424195289,0.48456246249904134,0.036467875596640095,0.04376773541579258,4577.0509391893747,2125.6136264601637,2539.2444482051037,2251.8223634093079,3314.0803731714677,3939.2349856598744,2847.2873076197725,0.5872396717411642,0.6693791615172903,481.56475679905299,486.2101480237875,439.41086864872091,623.76742465251857,0.7657813899919226,0.5288935403657029,0.23688784962621962,0.32437674096199637,0.30494780304977009,0.28343256805221528,0.26449935663053742,0.31047503563497197,0.27972677585530409,0.28065485121879019,0.25732098500148454,4436755,5860616,2939582,3099308,145524
76,0.38603963000567776,0.57895731686269,0.03500305313163223,0.93372258729513,0.9846733283422032,0.9377978990768218,0.9853252412122414,0.4047109795573037,0.4566310707706219,0.24457910407531178,0.26548741013800664,0.4923155827204185,0.484133253021331,0.03669602501740786,0.0439090045502503,4728.3738561870459,2219.1453540258299,2615.4691455685038,2313.6659749365108,3420.5700658760129,4073.7367916031935,2925.1464717926347,0.5965742973747427,0.6850863448512546,494.3518434336566,498.19242457914851,449.21437057490249,655.30901909988756,0.7715900866943344,0.5389789825672293,0.23261110412710503,0.32504127102059882,0.31055667835759421,0.28616738543829878,0.26830626458305373,0.31007273824984299,0.28335544586307548,0.28325512047833407,0.25949478845001472,4427484,5850493,2937861,3103637,147034
77,0.3864220004899876,0.5752707038239785,0.0383072956860339,0.9265309549853756,0.9843130204743737,0.9314525717546905,0.9849595734113027,0.4012444118136637,0.4529765277293612,0.24434889702676782,0.2638824511671865,0.48550985264626384,0.48377590469282516,0.03977669052544804,0.04756058805218746,4850.5224671703872,2289.565889947386,2658.159739118787,2364.95920299307,3494.1052106595012,4166.4219883868536,2987.1883314719385,0.6022912295586066,0.6983818682721278,639.15613898151116,627.70343528369835,578.48985843575281,800.71382556077526,0.7691146739705392,0.5516407022665751,0.2174739717039641,0.3277822812817151,0.31544470044220901,0.28371150378701177,0.26920740959423944,0.31033623544587274,0.28515372781797066,0.28102714756097175,0.26044786735951636,4423790,5841835,2929890,3097451,160582
78,0.38836816018315734,0.5724781809923527,0.03915365882448996,0.918962100417277,0.9839334026564148,0.9240450019079036,0.9846408873669006,0.39931241614455754,0.450530628278273,0.24398690316465824,0.2625452462866637,0.4793926711881932,0.4851776202443845,0.04025701308452628,0.04822515413375737,4936.3800082100461,2359.9228110478575,2697.7570083676237,2405.7855689070852,3555.7351540329928,4249.2065529561141,3038.1988304851284,0.6068624604066246,0.7082707066796474,512.66915267970637,518.77914554529184,473.96561460666982,700.0178781656158,0.7675625456788424,0.5625906014412783,0.20497194423756404,0.32950888003829648,0.32142596956423758,0.28299348300523436,0.26997172611141451,0.31081317855033813,0.28729184499057109,0.28033992582063177,0.26097276998988161,4413502,5827591,2926779,3099994,163526
79,0.38752590799788766,0.5712729472986514,0.04120114470346094,0.9135401748792328,0.9847008054931374,0.9188607606126863,0.9854062074193345,0.3955422199172162,0.4457452119998894,0.24616629046611543,0.2645580667223774,0.47594452859025965,0.48860006974628467,0.042053426371756866,0.0503555237469633,5051.8438493948188,2420.2548777136299,2746.2654379676983,2444.7096916820683,3627.3123633774462,4342.2416077272301,3085.9616306436697,0.6151258380363506,0.7209098163567254,524.72242985438004,528.16070697920395,482.59336047562715,689.13713169869925,0.7705178509454608,0.5537605102604443,0.21675734068501654,0.33468385792458688,0.32650711103786961,0.28638583551600749,0.27097595299250099,0.31349564547460423,0.28949975253804511,0.28410673854167873,0.2625537213022564,4398580,5815704,2916024,3095699,171254
80,0.38983848132574583,0.5675138500778848,0.04264766859636936,0.910425080399707,0.9858191556552255,0.9166188446728584,0.986645397348603,0.39544145412809895,0.4455944541558613,0.24838466118525424,0.26511836708687986,0.47172300195466277,0.48858035777697434,0.043260624316945245,0.0516443437223898,5148.2203984842554,2483.7030189520692,2787.7590339428248,2483.3119438384274,3694.9737489198524,4425.7372833152922,3133.7666177349656,0.6271719708654103,0.735805759741883,532.04045928420021,538.58579931441705,492.50135181890749,707.6794770202365,0.7842526512728866,0.5647853921656314,0.21946725910725526,0.33626074599610661,0.32906099473712946,0.28530861428729698,0.27098167607170071,0.31396915054869695,0.29026088569128328,0.28305900438357262,0.26363289151610719,4396096,5809930,2921452,3104536,176702
81,0.38966490876223875,0.5653909413937034,0.04494414984405791,0.9040318928481419,0.9837842314006363,0.9109655551975291,0.9846794415469324,0.3917420512838012,0.4407542893670187,0.2510450338286286,0.26558191565092326,0.4671061130396335,0.4891671146107245,0.04518372852470716,0.05386282742289309,5230.9300218030166,2547.5597858011552,2833.0279875363349,2519.5824328798985,3753.3187209632151,4504.3035096656386,3178.1613058330304,0.6342110639309131,0.7473173245174034,692.26632252556033,677.75949534236395,629.57422385956795,846.83999190396457,0.789082928076396,0.564787528717644,0.22429539935875195,0.33855055385231114,0.33317891562472501,0.28620946282265441,0.2729045329785903,0.31479792587908295,0.29167017439088538,0.2838337214188037,0.26465423402096028,4390353,5807480,2918027,3103020,185377
82,0.3921252635217707,0.5622648996304609,0.045609836847768405,0.8987067876767159,0.9835799766512596,0.9059298907256716,0.9844400415024582,0.3912182222325849,0.4395733732003215,0.2510358619537255,0.265100271151318,0.4619842306108015,0.48993305636166595,0.04550433483332945,0.05407354708927213,5319.2817388809262,2606.4062734147287,2872.3863701631744,2552.9348448143337,3817.3057294798919,4585.0038041817697,3219.9315147726188,0.6430271655496762,0.7585694262577584,553.02112368196197,556.57529729576834,510.52810876432386,731.02163350645105,0.7852338622757686,0.5674386309390418,0.21779523133672682,0.34446890306760342,0.33723600945047072,0.28786749923515553,0.27408811390316146,0.3184162712671057,0.29390911113984741,0.28539442736882509,0.26560737876099744,4376967,5788363,2915866,3101513,187357
83,0.39460687149194384,0.5587595051187569,0.04663362338929919,0.8918771862015887,0.9828445969803296,0.9000475462209939,0.9840288377863029,0.39002404383631045,0.4379004749317022,0.25163625956514185,0.26461662574112016,0.45576110574091006,0.4901610619209696,0.04609203662436818,0.05478306012765782,5406.1155761030932,2667.7074798629237,2914.2232259816687,2584.791312773601,3882.1784665848313,4667.3639848367511,3259.6149691762967,0.6532851680499967,0.7703955051588296,559.42779564553632,560.80621883614015,512.48763867929142,749.26338399185977,0.7821757720311897,0.5667948054529379,0.21538096657825176,0.34796479173276162,0.34192692479731351,0.28864114803318908,0.27506050939662841,0.31883802142855638,0.29458277384999221,0.28586129491836937,0.26683131885627065,4363551,5770037,2910749,3102200,190684
