period,Contributory_pensioners_share,Moratorium_pensioners_share,universal_pensioners_share,retirement_coverage_for_legal_age,retirement_coverage_65+,All_coverage_legal_age,All_coverage_65+,Contributory_retirement_coverage_legal_age,Contributory_retirement_coverage_65+,survivors_benefit_coverage_legal_age,survivors_benefit_coverage_65+,Moratorium_benefit_coverage_legal_age,Moratorium_benefit_coverage_65+,PUAM_coverage_legal_age,PUAM_coverage_65+,Mean_Contributory_retirement_pension,Mean_survivors_benefit,Mean_moratorium_pension,Mean_universal_pension,Mean_retirement_pension,Mean_pension_benefit,Median_pension_benefit,Median_pension_to_labour_income_ratio,Mean_pension_to_labour_income_ratio,Mean_family_benefit,Mean_child_benefits,Mean_Contributory_child_benefits,Mean_AUH_benefits,Child_benefit_coverage,Contributory_child_benefit_coverage,AUH_coverage,Gini_retirement_age,Gini_retirement_age_non_labour_income,Gini_65+,Gini_65+_non_labour_income,Gini_retirement_age_has_income,Gini_retirement_age_(has)_non_labour_income,Gini_65+_has_income,Gini_65+_(has)_non_labour_income,Total_SIPA_beneficiaries,Total_SIPA_benefits,Total_non_moratorium_beneficiaries,Total_non_moratorium_benefits,Total_PUAM_benefits
59,0.38752977620453277,0.6021314684378712,0.010338755357596046,0.9951624024958414,0.9953709548316393,0.9955386447439538,0.9958285880052431,0.43549998813028856,0.485242589230075,0.24696452833355326,0.27662464812944537,0.5475511681176238,0.49539714367062765,0.012111246247929012,0.014731221930936674,5110.0184732510443,2106.9776806604282,2877.1683912459935,2591.750855438308,3739.5134217461996,4405.0350091311202,3250.4611073299147,0.577399001258528,0.6432384319118657,525.95277236442655,536.37094850642279,475.10888710397461,732.43199868114357,0.7711083822469835,0.5381525166596459,0.23295586558733755,0.31390938208719682,0.27918002350638838,0.29952506931004191,0.27330556694686881,0.31365854027824175,0.27859655484151219,0.29758813315493504,0.27126521485696842,4346472,5798971,2992050,3076188,43875
60,0.38456871399522197,0.6021780237781744,0.013253262226603552,0.9951969326220604,0.9954234543063477,0.9955709161031305,0.995876554602741,0.4327855924990383,0.48148970601336893,0.24686449286138795,0.2767249391987937,0.5469476856651007,0.49519873251591334,0.015463654457921508,0.018735015777065347,5563.0033573965502,2324.5405865113239,3109.6731251548686,2800.659055888912,4049.0517330819594,4778.8698436127988,3524.9258904800622,0.6200880206475474,0.6962099027606001,597.15907256392882,607.67356774989469,557.86270758335627,794.08572877831341,0.7807447813239258,0.5590934636853022,0.22165131763862356,0.31381407771544578,0.28102948585241483,0.30018744697080008,0.27533921022016333,0.31356470774537692,0.28045101090984742,0.29829191204560618,0.27337637055687153,4365128,5819253,2982503,3076031,56358
61,0.38148997627244324,0.603205035272813,0.015304988454743743,0.9952599997111584,0.9954647846308018,0.9956314064598615,0.9959137930239316,0.42922494251097665,0.47655998297523566,0.24512736417562553,0.2752813467484611,0.5482282426629456,0.49737743520344396,0.017806814537236183,0.021527366452122134,5172.6591382654451,2166.3253181112127,2876.6314580738622,2605.4234857306806,3748.3921684254756,4422.801809136974,3261.3536431342141,0.5746804101371361,0.6492787868069309,687.17158027542735,687.86158154889063,635.10473534179982,837.20760581852551,0.7445254582147407,0.5171347213183408,0.22739073689639983,0.3168710612406892,0.28145501157877018,0.30181112129955401,0.27637016201029352,0.31662451333580466,0.28085674305810665,0.29992739667645185,0.27435859372451948,4387953,5840335,2976026,3074036,65348
62,0.3784334285219981,0.6036745112679611,0.01789206021004078,0.995095246486296,0.9952955949274127,0.9954636165016795,0.9957424625916358,0.42651247917614843,0.47451116677376626,0.24390743561497522,0.2753206431222378,0.5478716158876393,0.4956598428914272,0.020711151422508244,0.025124585262219192,5159.0179628919623,2208.9308626876677,2884.9627842306199,2622.8555326221735,3740.8516434123699,4428.820255333525,3321.9360631716036,0.5945464674819928,0.659781568092425,555.37615975189442,566.66314362870412,498.58636086397075,768.12265992176845,0.7584269129199865,0.5311518225819178,0.22727509033806875,0.30375500434567243,0.26900884276223003,0.28476553421134665,0.26264013352924598,0.30350577801732964,0.26840519188588191,0.28288559283208492,0.26045869373919633,4401506,5854484,2958970,3066001,76633
63,0.37513550382211813,0.6041920517496217,0.020672444428260238,0.9946558468850021,0.9951039413712225,0.9950502731887103,0.9955813829107236,0.42291983231493757,0.4705055923275405,0.2423353593482267,0.27297165614816865,0.5478761867813305,0.49571672323783633,0.023859827788734064,0.02888162580584566,4849.9273207837387,2084.9737880250705,2680.9658884782698,2440.9891494646467,3489.6594223555908,4133.8703978823087,3051.2364368308085,0.5806300840138665,0.6529015738916586,514.46114415375075,522.86151940617287,469.74124532313817,684.55827695855442,0.7475450444822485,0.5097022190156274,0.23784282546662103,0.31629502703304924,0.28281644738624601,0.29963008346983977,0.27789927387209429,0.31582664997809945,0.28204931181854909,0.29766532451052613,0.2757022950092865,4410192,5857854,2942012,3057358,88561
64,0.37240717143169666,0.6043030646960219,0.023289763872281426,0.9941360999188998,0.9944834198898957,0.9945916163465324,0.9950336487350746,0.4204596789980575,0.4695248250977111,0.24367681889269174,0.2738613040033858,0.5468816216599943,0.49259253605152015,0.02679479926084796,0.03236605874066454,4440.9980910242675,1918.8295263295968,2448.3268158990086,2248.3808926425277,3185.7551957217293,3777.9223712198141,2810.4761158031592,0.5632948247893054,0.6283105187813065,474.50445567505591,484.47703655840058,439.34482623418575,617.93776819989159,0.7524398168336974,0.5148189078918286,0.2376209089418688,0.31904335632251868,0.28086500047104734,0.30139177488091062,0.27626599224022719,0.31857775778429309,0.28009725515203449,0.29938851218391116,0.27415592488028906,4413876,5865398,2932013,3050569,99646
65,0.3747294625963355,0.6053232967048817,0.01994724069878273,0.9927194039078573,0.9927283376242388,0.993170843504493,0.9932728845525152,0.42288724136828304,0.472789530040571,0.2435977657204379,0.27616597816090366,0.5469827632154012,0.49237682518854214,0.02284939932417307,0.027561982395125695,4364.642994587477,1907.9718726276033,2405.2889982454094,2212.7436121647261,3135.675919169063,3725.3737269284575,2765.929515205908,0.5539022206987023,0.622895152911416,594.81779764700184,591.2900600100495,540.80852895780504,738.57307183333842,0.7369765777931009,0.49988629609083435,0.23709028170226662,0.32111344428380845,0.282486965384737,0.30352526961620152,0.27770920252511255,0.3206534183636211,0.28172781467559815,0.3016890523748984,0.27458704107012349,4433702,5891097,2944660,3070258,85741
66,0.37803250849102377,0.6027756480771581,0.0191918434318181,0.9922438719047074,0.9921369107097013,0.9926905295397844,0.9926758140255473,0.42704161298777044,0.4775405521563927,0.23977657626112228,0.2712360196104817,0.5433424018368334,0.48822190855122494,0.02185985708010359,0.026374450002083716,4416.9685120875019,1929.6297122651351,2393.1515254343494,2217.1522579845541,3154.8423872405742,3743.337188648974,2772.319489965575,0.5611565760067078,0.6275821279123017,513.13765002091452,527.01641670583831,431.93047073459491,767.2442089864636,0.7622975584435872,0.5277608627413112,0.23453669570227598,0.32553068590924222,0.28508880162446609,0.30849816244980399,0.27986838924279495,0.3250784976460912,0.28434042441634844,0.30659093628924811,0.27641808164025394,4458391,5906065,2958713,3087863,82906
67,0.3783003001386476,0.6014114130901123,0.02028828677124015,0.9916397168569464,0.9910256007341434,0.9921758028454516,0.9916720616982093,0.42719668205253436,0.47772239577113335,0.2368501912005277,0.26763515339698424,0.5414585760857696,0.4855864661181543,0.022984458718642423,0.027716738844855655,4541.8203679824173,1978.5007525228061,2427.7660871445596,2249.9369501289216,3223.9056075668586,3818.2047883865216,2816.9398836191676,0.5919954195005948,0.6567116227231744,506.3815661424623,515.6389714452979,434.38806660611715,718.43528610515682,0.7611019659650382,0.5134872131548501,0.24761475281018808,0.3228811252816573,0.28814314884543873,0.30742551099381216,0.28347618652242029,0.32241015872756734,0.28762516891263784,0.3053449996853041,0.27963841156527136,4493769,5935993,2967207,3099057,88193
68,0.380218832675562,0.5972787665685604,0.022502400755877672,0.9840295664184069,0.9906932830202337,0.9846352191600666,0.991360366327956,0.4268010789370859,0.4772422563890075,0.23220296280453212,0.2631693571008023,0.5319692207224901,0.4830141806684998,0.025259266758830837,0.03043684596272633,4475.2279257017999,1959.2230977797972,2395.7160911646051,2214.2007321618221,3182.3011220757262,3765.0322104118891,2767.7509152022772,0.6043616810468005,0.6683593297629454,518.50641284268704,528.34359224771617,427.90483826072762,788.94764086484145,0.7624330007407611,0.5283915678145666,0.23404143292619453,0.32357394211345097,0.2915609050178517,0.30309760039567973,0.28145581645943635,0.32050491328953568,0.28714193884714168,0.30114319809342865,0.27748502372794609,4486827,5916065,2956695,3088646,97550
69,0.38049285295200935,0.5949098452136156,0.024597301834375054,0.9790250771931199,0.9901299531395742,0.9801889039917661,0.9908391150155272,0.4240261394364541,0.4733448037944186,0.2345925729596162,0.2632792883854769,0.5275873875620587,0.48386083828507936,0.027411550194607105,0.03292431106007623,4867.3630385389915,2231.3190941050871,2913.1102630372352,2874.221467534665,3655.7329175363293,4316.1791652423626,3468.8678038658959,0.7069624351328164,0.7278491457640643,639.93529397646432,630.64391020497624,533.76423572480041,874.14800488114861,0.7491897027874224,0.511934409854721,0.2372552929327014,0.22059563472858842,0.18019068169958563,0.19594214977400395,0.16678648594857381,0.21545112022034787,0.17218742173153612,0.19328755358266037,0.16210551698147477,4486967,5917453,2958664,3098337,106318
70,0.3802824605125655,0.5919556440071411,0.02776189548029342,0.9738189936323327,0.9897614925250297,0.9752481247938753,0.9905141794422808,0.4204661730009781,0.4685345545020873,0.2356275197822042,0.26272458537729854,0.5226573793214433,0.48444170653256086,0.030695441309911333,0.036785231490381515,4646.4667434187349,2050.5085041740526,2614.638767898341,2332.3471039549268,3379.4703580981463,3981.8515321072691,2950.6385117847649,0.5268769344839443,0.6258821889216187,496.55477216903682,501.80401674154308,467.01590559892304,667.05438638842475,0.7134622410529999,0.5501779297952339,0.163284311257766,0.30241728064301343,0.27606806636302672,0.2744452667636314,0.25551491755827771,0.29564423158908876,0.26667594649690507,0.27202908043302043,0.25091643952318704,4488440,5916893,2958003,3098059,119785
71,0.3814091188684115,0.5898061523072723,0.028784728824316177,0.9662031269239271,0.98897399097975,0.9680977688246261,0.9897246575753622,0.4177922476209268,0.4664604247713239,0.23755602411742496,0.26410049560533866,0.5168803364875858,0.4846332330606922,0.03153054281541441,0.037880333147734,4628.730743430272,2062.1710209343269,2594.0666170970021,2311.8593490231574,3361.9828090311835,3970.9970266692799,2923.6338639332635,0.5584012962999731,0.6519041875200421,498.16417635697087,500.26769099091007,461.45798808241796,641.0207928268112,0.7194038033989936,0.5271905091266857,0.19221329427230782,0.30660382438225758,0.28253309740833432,0.27459802112717002,0.25710196524541334,0.29817470912452126,0.26897785288955744,0.27194297832075631,0.25185387195179126,4474966,5906140,2951290,3097497,123683
72,0.3837436133881864,0.5865204439589324,0.02973594265288117,0.9622877488560644,0.9892808084772371,0.9643381345724418,0.9900323170133438,0.4173935358006325,0.46595675529827313,0.23934337660111452,0.26345019377943485,0.5125507686012941,0.48444736067503924,0.03234344445413773,0.03887669250392465,4521.5271007570009,2034.9173670444527,2533.2365428933358,2252.9677336481559,3287.8962887944449,3887.4770234948337,2848.3608514755692,0.5541470286033693,0.6463931870049993,483.33409404949862,489.13522344008715,447.35005427916343,646.16395712944802,0.7422244456743103,0.5367760641444723,0.20544838152983802,0.31604222836956875,0.28711674067404314,0.27882418168444417,0.25848007074060658,0.30564021671808445,0.27135346716795461,0.27603882773355248,0.25301644340341445,4448689,5870535,2941317,3089089,126794
73,0.38396707265886304,0.5847894562490236,0.03124347109211336,0.9540855584150204,0.988516141443005,0.9566418710498037,0.9892758676737098,0.4129334288418763,0.46254969723570444,0.2413315496750272,0.2643850326627491,0.5075516607682298,0.48554663458933695,0.03360046880491435,0.04041980961796363,4361.1008362668872,1974.3643681792021,2447.2484598733431,2161.4750816993082,3173.1762020585047,3753.633039238563,2733.5006120388598,0.5489537183972597,0.6350731019333059,587.10183606555086,574.35132152798712,528.13544888391584,728.00485927063585,0.7397490120061108,0.526152618503529,0.21359639350258178,0.32282554835134003,0.29487291647737429,0.28298567659045759,0.26185231850306417,0.31084291277609483,0.27614623701691848,0.28036463424771679,0.25583196226114641,4446252,5869547,2939909,3094849,132795
74,0.38504771721656605,0.5816934924936971,0.033258790289736856,0.9464865037415109,0.9873591710836732,0.9491734642914506,0.9881135226586542,0.41040771170245466,0.4600254110097854,0.24081299533765843,0.264182323390762,0.500629512880947,0.4847098738455792,0.03544927915810915,0.042623886228308615,4453.2153295112394,2042.5831899506595,2480.2107349177745,2198.1247182822322,3230.529810452836,3829.8367693005712,2777.9953585558042,0.5684332717526087,0.6545238672949033,468.12781063791584,473.01276304057501,428.71866890787555,615.11096945233351,0.7598047468142111,0.5351405105906207,0.2246887958549928,0.32231300395273871,0.30021173415007424,0.28117317404731262,0.26263601841197093,0.30864339128697521,0.27763066219989435,0.27856416292290687,0.25579358798966811,4447283,5869593,2942876,3099241,141034
75,0.3850958606144779,0.5804081143078477,0.03449602507767437,0.9402256024414161,0.9868826721886124,0.943064114486736,0.9875392303261888,0.40710858442524706,0.45855247427377843,0.24271771427483121,0.26532768506864085,0.4966491424195289,0.48456246249904134,0.036467875596640095,0.04376773541579258,4538.2377662639474,2107.9724697389961,2517.9841532131936,2233.3876064595042,3286.1580073766472,3906.1446566520658,2823.9777205337068,0.5892971223991396,0.6714881450601231,477.85822844830784,482.34971950087254,436.02859855099337,618.6385493566778,0.7665629501878377,0.5295674654861446,0.23699548470169304,0.32478116818121322,0.30487929676026515,0.28326745693318406,0.26443719384525705,0.31037983121488383,0.27970965480192872,0.28048910005959382,0.25725821551711608,4436755,5860616,2939582,3099308,145524
76,0.38603963000567776,0.57895731686269,0.03500305313163223,0.93372258729513,0.9846733283422032,0.9377978990768218,0.9853252412122414,0.4047109795573037,0.4566310707706219,0.24457910407531178,0.26548741013800664,0.4923155827204185,0.484133253021331,0.03669602501740786,0.0439090045502503,4707.9280001533971,2205.8995050144163,2603.4276378015611,2304.6795818806199,3405.3910849563067,4054.3925301256681,2913.7850582496271,0.6029502226007236,0.6923658638596243,490.71169122830486,495.8772023588898,447.3370881878937,652.72425616498276,0.7765701670643401,0.5438179998442774,0.2327521672200627,0.32554402907413704,0.31045171960823759,0.28565235977122427,0.26814572490676658,0.31016586933630436,0.28310537467967328,0.28273799363072522,0.25933231546275837,4427484,5850493,2937861,3103637,147034
77,0.38664835256552416,0.5750584835065781,0.038293163927897764,0.9269141519828153,0.9843130204743737,0.9314525717546905,0.9849595734113027,0.40162760881110343,0.4529765277293612,0.24434889702676782,0.2638824511671865,0.48550985264626384,0.48377590469282516,0.03977669052544804,0.04756058805218746,4891.8797135699651,2305.4853191892698,2680.3875884963873,2387.5381159357312,3524.2432425087527,4202.1633223679446,3015.70783624571,0.6210495617618766,0.7186595630237987,648.34958794172496,636.85550599265571,588.84714105791613,808.36841586318144,0.7753166246247528,0.5575757458112569,0.217740878813496,0.32647581343678833,0.31530576547046951,0.28282407208827198,0.26902004369701216,0.30899586088103514,0.28500864509537965,0.2801363901313067,0.26025825562740984,4423790,5843382,2929890,3098998,160582
78,0.3883048810593024,0.5724932591611598,0.03920185977953788,0.9189350204945779,0.9839009627572263,0.9240179219852045,0.984608447467712,0.39923683854211545,0.4504400914687194,0.24398690316465824,0.2625452462866637,0.4793926711881932,0.4851776202443845,0.040305510764269276,0.04828325104412239,4957.5881992920104,2366.7969488286171,2710.4055223350833,2418.1291096854202,3571.5397454838089,4266.7578716199869,3053.7503748092668,0.6238102765427135,0.7276519505051694,519.14591936845943,524.15072159435226,480.77563655986125,702.80149018503835,0.7751544648960487,0.570168195495362,0.20498626940068662,0.32808602111717483,0.3212134933980007,0.28078430248509378,0.26973259308674014,0.30891205440870351,0.28709540882778406,0.2781225693819977,0.2607064109661969,4413392,5827481,2926472,3099687,163723
79,0.3874973985494432,0.5713004365625004,0.041202164888056426,0.9134910625357292,0.984653465055406,0.9188116482691828,0.9853588669816031,0.39549408982058276,0.4456990477221016,0.24616629046611543,0.2645580667223774,0.47594452859025965,0.48860006974628467,0.0420524441248868,0.05035434758701966,5060.1512750921065,2420.4279487477029,2753.0296566725069,2451.6154787830683,3634.6143652902842,4349.2421504140711,3094.6795089728571,0.6318820385710905,0.7395374716191545,529.09490737674867,532.6889857941228,488.71306054429323,689.51705719607344,0.7771805747790694,0.5597119612135618,0.21746861356550762,0.33357092325834153,0.32621925954390257,0.28463777808743607,0.27065127150556312,0.31252598999179249,0.28933360798987851,0.28235309827492761,0.26218995708395504,4398380,5815504,2915828,3095503,171250
80,0.3897787876330383,0.5675316569349831,0.042689555431978624,0.9103932534755002,0.9857811608125869,0.9165870177486515,0.9866074025059645,0.39536849702491705,0.445507358285813,0.24838466118525424,0.26511836708687986,0.47172300195466277,0.48858035777697434,0.043301754495920275,0.051693444749799575,5146.3555233679253,2479.5589694913047,2789.736970493534,2485.7916086888868,3695.321600575387,4424.515167821095,3136.8682127285647,0.6438230467226974,0.7540843797086033,537.17320072095572,543.11538295671483,499.25224933643693,707.96987710168798,0.7875193950501934,0.5695033531379029,0.21801604191229043,0.33461575061375087,0.32870888768193846,0.28464722618685595,0.27062775981834669,0.31261070091231136,0.28990515140277434,0.28239553445417864,0.26324713266353977,4395966,5809800,2921154,3104238,176870
81,0.3896673550959078,0.5653579076470435,0.04497473725704868,0.9040906341082467,0.983882149550361,0.9110476954658084,0.9847773596966571,0.3917674002093236,0.4408124010285764,0.2510450338286286,0.26558191565092326,0.4671061130396335,0.4891671146107245,0.045217120859289577,0.0539026339110601,5220.0823995912342,2538.2493401796892,2831.6152453345253,2518.5329182894384,3748.2421286685085,4495.8229282747925,3176.8167820829308,0.6506751089929663,0.7649371635256454,694.52692878341099,681.06095064033559,634.29097013812884,846.85622293970221,0.7948421938673939,0.5691359647490676,0.22570622911832627,0.33663064367472012,0.33272830869845021,0.28392620761133608,0.27237965982232709,0.31282052328893473,0.29115976754159689,0.28151710365718552,0.26419627123665085,4390690,5807721,2918227,3103124,185514
82,0.3920020751961739,0.5620362716453206,0.04596165315850552,0.8991126318325601,0.9840622479151364,0.9063357348815159,0.9849223127663351,0.3912544106103352,0.43961637644288143,0.2510358619537255,0.265100271151318,0.4619842306108015,0.48993305636166595,0.04587399061142328,0.054512815110589044,5301.4671892958968,2594.5944249921135,2867.4144401835001,2549.4232632190178,3806.9527687894056,4570.4554195401224,3215.2764962465722,0.659816240071201,0.7758484447449642,553.14554645484793,556.33988537709581,511.34651139753612,731.57299341592352,0.7948611802248646,0.5777931606262432,0.21706801959862146,0.34201964650893552,0.33648856660220433,0.28715135685722698,0.27329892548843732,0.31686419809212568,0.29314554484236433,0.28470127879529905,0.26516749923485572,4378638,5790034,2916015,3101662,188879
83,0.39473763297570175,0.5582437177463906,0.047018649277907644,0.8927904023831607,0.9838817414028341,0.900960762402566,0.9850659822088074,0.39051376749535355,0.43843427391702444,0.25163625956514185,0.26461662574112016,0.45576110574091006,0.4901610619209696,0.046515529146897036,0.05528640556484006,5381.7766156031212,2651.34755828268,2907.6362755783575,2578.0915098000019,3868.7778272859277,4647.9733314278255,3253.3334521759571,0.6697143148323568,0.7880122153421495,555.49702186832144,559.89028031437999,513.56957729551448,740.17274078371611,0.7895999717743761,0.5751059425080038,0.21449402926637232,0.34498750787595106,0.34072562351345836,0.28675949068942813,0.27375467066044346,0.31725301097929332,0.29328003094534866,0.28397228442082201,0.26625002604246484,4367329,5773815,2912775,3104226,192436
